Date : 2024-08-29 23:49:30
Directory : c:\users\jfhum\documents\s&box projects\sewer_hell\code
Total : 87 files,  5931 codes, 202 comments, 1140 blanks, all 7273 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C#            |         83 |      5,747 |        196 |      1,108 |      7,051 |
| SCSS          |          2 |        138 |          6 |         17 |        161 |
| ASP.NET Razor |          2 |         46 |          0 |         15 |         61 |
+---------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         87 |      5,931 |        202 |      1,140 |      7,273 |
| . (Files)                                                                                 |         40 |      1,567 |          8 |        274 |      1,849 |
| AI                                                                                        |         13 |      1,675 |         38 |        343 |      2,056 |
| Items                                                                                     |          6 |        483 |         78 |         89 |        650 |
| Player                                                                                    |          7 |      1,098 |         53 |        249 |      1,400 |
| UI                                                                                        |          5 |        200 |          7 |         38 |        245 |
| Weapon                                                                                    |         15 |        862 |         18 |        142 |      1,022 |
| tftintro                                                                                  |          1 |         46 |          0 |          5 |         51 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| filename                                                                                  | language      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\AIAgent.cs                     | C#            |         38 |          0 |         11 |         49 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\AIState.cs                     | C#            |          8 |          0 |          1 |          9 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\AIStateMachine.cs              | C#            |         34 |          0 |          8 |         42 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\AgroRelations.cs               | C#            |         13 |          0 |          3 |         16 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\AnimationHelper.cs             | C#            |        212 |         10 |         54 |        276 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\CoverContext.cs                | C#            |          8 |          0 |          1 |          9 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\CoverFinder.cs                 | C#            |        169 |          1 |         48 |        218 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\DogAI.cs                       | C#            |        200 |          3 |         30 |        233 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\EnemyWeaponDealer.cs           | C#            |         92 |          0 |          7 |         99 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\FindChooseEnemy.cs             | C#            |        123 |          2 |         33 |        158 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\GruntAI.cs                     | C#            |        490 |         20 |        110 |        620 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\NavMeshCharacter.cs            | C#            |        113 |          1 |         10 |        124 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\AI\ScreamerAI.cs                  | C#            |        175 |          1 |         27 |        203 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\Assembly.cs                       | C#            |          3 |          0 |          1 |          4 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\BodyDeath.cs                      | C#            |         19 |          0 |          2 |         21 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\ChunkDealer.cs                    | C#            |        187 |          0 |         26 |        213 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\ChunkSaver.cs                     | C#            |         30 |          0 |          6 |         36 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\Credits Display.cs                | C#            |          0 |          0 |          1 |          1 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\CreditsDisplay.cs                 | C#            |         44 |          0 |          9 |         53 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\DisplayHealth.cs                  | C#            |         51 |          0 |          6 |         57 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\DoorLocker.cs                     | C#            |         30 |          1 |         10 |         41 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\Dummy.cs                          | C#            |         23 |          0 |          3 |         26 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\EnemySpawner.cs                   | C#            |         21 |          0 |          4 |         25 |
| c:\users\jfhum\documents\s&box projects\sewer_hell\code\Feeder.cs                         | C#            |         14 |          0 |          3 |         17 |
